1133,Kaitlyn,Henderson,13294
1302,Nichole,Nara,13294
1309,Margaret,He,13268
1132,Randall,Dominguez,13265
1301,Adriana,Gonzalez,13242
1322,Rosa,Hu,13215
1125,Brandi,Gill,13195
1308,Brad,She,13172
1297,Francisco,Sara,13164
434,Maurice,Shan,12914
440,Janet,Munoz,12488
242,Lisa,Cai,11468
418,Lacey,Zheng,11248
421,Jordan,Turner,11200
243,Larry,Munoz,11067
1656,Larry,Vazquez,10899
2264,Kate,Anand,10871
1324,Lawrence,Alonso,10836
1334,Terrance,Rodriguez,10829
1651,Aaron,Wright,10813
1632,Clarence,Gao,10799
1633,Bonnie,Nath,10793
1333,Andres,Nara,10789
2406,Ethan,Bryant,10778
246,Ricky,Vazquez,10580
247,Latasha,Rubio,10575
238,Clarence,Anand,10566
426,Ariana,Gray,10528
430,Marco,Lopez,10468
429,Deanna,Perez,9954
428,Desiree,Dominguez,9918
432,Bryant,Garcia,9913
424,Jasmine,Stewart,9905
250,Cindy,Patel,9890
413,Sydney,Bryant,9880
3187,Katrina,Tang,9796
422,Amy,Sun,9780
2593,Gabriella,Collins,9695
2606,Gerrit,Straatsma,9614
3186,Frank,Vazquez,9524
2576,Alicia,Shen,9458
3193,Ronald,Kapoor,9452
2578,Theodore,Torres,9451
3201,Colleen,Goel,9422
2596,Cole,Stewart,9391
433,Dominique,Prasad,9330
2258,Jon,Chander,8941
2259,Anne,Dominguez,8886
1129,Kristy,Munoz,8681
1126,Diana,Ortega,8595
1130,Wendy,Alvarez,8557
2601,Marie,Sanz,8460
3428,Emmanuel,Patel,8451
4107,Shannon,Navarro,8421
3776,Bonnie,Xie,8404
3430,Lacey,He,8394
4693,Ryan,Garcia,8392
4098,Morgan,Bennett,8377
2603,Virginia,Mehta,8376
2582,Albert,Blanco,8375
2584,Blake,Butler,8375
2586,Savannah,Morris,8368
3940,Cory,Kapoor,8367
3941,Carmen,Rana,8367
2585,Isaiah,Cox,8361
3208,JosΓö£┬«,Saraiva,8361
2592,Latasha,Alonso,8355
3831,Isabella,Ward,8346
4692,Julian,Henderson,8341
3426,Victor,Carlson,8332
2577,Tamara,Lal,8330
3182,Adriana,Chandra,8326
4696,Bruce,Gomez,8324
3184,Robyn,Carlson,8321
3429,Cassie,Andersen,8321
3427,Madison,Hughes,8319
768,Meagan,Madan,8319
3190,Krista,Martin,8317
3196,Clinton,Blanco,8316
3199,Daisy,Romero,8308
2591,Louis,Xie,8306
4081,Evelyn,Chandra,8305
4119,Nelson,Ortega,8301
3192,Derrick,Martin,8301
4355,Corey,Kumar,8297
113,Crystal,Wang,8295
767,Candace,Raman,8280
1339,Monica,Vance,8265
102,Abby,Sai,8262
901,Byron,Carlson,8257
1004,Audrey,Munoz,8256
452,Ruben,MuΓö£ΓûÆoz,8250
1,Jon,Yang,8249
996,Kelvin,Carson,8249
902,Stacy,Alvarez,8248
59,Marc,Diaz,8248
110,Ruben,Kapoor,8245
987,Max,Alvarez,8245
121,Beth,JimΓö£┬«nez,8242
447,Bethany,Chander,8237
444,Grace,Griffin,8235
763,Randall,Gomez,8228
457,Jon,Gao,8224
55,Deanna,Munoz,8223
895,Ann,Gonzalez,8223
344,Arthur,Carlson,8222
100,Adam,Ross,8216
752,Victoria,Gonzales,8215
905,Kaylee,Cook,8214
978,Bonnie,Jai,8213
1040,Ricardo,Nath,8212
8,Marco,Mehta,8211
458,Jaime,Gutierrez,8211
57,Michele,Nath,8207
919,Kaylee,Hill,8205
81,Damien,Chander,8204
898,Orlando,Ashe,8203
1011,Max,Serrano,8203
5,Elizabeth,Johnson,8196
148,Ernest,Wu,8195
1010,Ann,Martinez,8195
73,Casey,Luo,8194
342,Randy,Zeng,8192
900,Brenda,Perez,8189
118,April,Deng,8185
453,Erika,Rubio,8183
1001,Ashley,Russell,8183
104,Cassie,Chande,8182
94,Aimee,He,8180
899,Angela,Henderson,8179
917,Joe,Rana,8179
454,Stanley,Malhotra,8177
451,Brett,Mehta,8173
105,Edgar,Sara,8173
970,Randy,Xu,8173
965,Sharon,Salavaria,8173
920,Warren,Andersen,8172
101,Latasha,Navarro,8172
